Car Brand,Car Model,Manufacture Year,Sales Date,Sale Country,Price
Wrong Brand,Q5,1983,2020-06-12,Chile,29146
Ford,Escape,1974,2021-10-14,Egypt,65471
Audi,Q5,1994,2023-02-12,Djibouti,74089
Honda,CR-V,2008,2020-02-09,Moldova,48602
Ford,Explorer,2008,2022-10-21,Turkmenistan,24914
Ford,Escape,2002,2022-02-09,Samoa,39986
Audi,Q7,1975,2020-07-14,Montenegro,37413
Chevrolet,Cruze,2009,1986-06-16,Namibia,19375
Ford,F-150,1995,2023-11-12,Denmark,73719
Ford,Focus,1994,2020-12-14,Moldova,75012
BMW,X3,2022,2013-01-07,Cook Islands,23167
Honda,Odyssey,2021,2023-03-13,Grenada,51690
Volkswagen,Passat,1972,2020-01-22,Monaco,677080
Mercedes-Benz,E-Class,2004,2020-04-03,Somalia,32124
Honda,Civic,1992,2022-08-02,Senegal,62378
Volkswagen,Atlas,1992,2022-11-02,Russian Federation,34376
Toyota,Tacoma,2022,2022-10-28,Congo,58541
BMW,X3,1979,2023-11-20,Eritrea,65811
BMW,7 Series,2017,2023-09-11,Luxembourg,76236
Honda,Odyssey,1974,2019-06-17,Falkland Islands (Malvinas),67123
Honda,Odyssey,1987,2019-03-03,Haiti,51230
BMW,X5,1985,2020-10-15,South Georgia and the South Sandwich Islands,50956
Ford,F-150,1992,2020-01-12,Sri Lanka,69193
Nissan,Altima,1995,2022-02-11,Turkmenistan,67628
Ford,Explorer,2016,2023-10-25,Chad,51710
Honda,Accord,1992,2022-01-10,United Kingdom,58924
Volkswagen,Tiguan,2015,2019-07-22,Slovakia (Slovak Republic),67773
Nissan,Sentra,1996,2023-02-26,Guam,69234
Chevrolet,Silverado,2009,2021-03-29,Liberia,61403
Nissan,Titan,2006,2023-01-20,Iceland,58289
Ford,Mustang,1977,2022-10-06,Burkina Faso,19223
Ford,F-150,2007,2019-05-29,Korea,41216
Ford,Focus,2019,2023-08-10,Haiti,58240
Audi,A6,2007,2019-11-07,Sierra Leone,79704
Volkswagen,Jetta,1996,2023-02-27,South Georgia and the South Sandwich Islands,75893
Mercedes-Benz,GLE,1982,2021-02-08,Bangladesh,62077
Mercedes-Benz,GLC,1992,2020-04-05,Indonesia,41550
Chevrolet,Silverado,1973,2022-06-06,Netherlands,11133
Ford,Escape,2003,2020-12-26,Belgium,77962
Mercedes-Benz,C-Class,2016,2021-05-19,Costa Rica,33181
Nissan,Rogue,1976,2019-06-02,Belarus,53781
Toyota,Highlander,1995,2023-10-15,Djibouti,20841
Tesla,Model Y,2012,2022-03-09,Montenegro,12513
Chevrolet,Equinox,1988,2023-10-06,Thailand,11678
Ford,F-150,1995,2020-08-01,Antarctica (the territory South of 60 deg S),48036
Honda,Accord,2013,2022-07-20,Kiribati,59617
Mercedes-Benz,GLE,2006,2022-05-28,Portugal,74288
Nissan,Altima,2022,2023-07-05,French Guiana,79923
Wrong Brand,GLC,1976,2020-06-24,Tokelau,31528
Mercedes-Benz,E-Class,2003,2021-03-20,Ethiopia,32288
Volkswagen,Jetta,1985,2021-06-21,Singapore,37736
Ford,Focus,1991,2021-11-18,Serbia,54694
Nissan,Sentra,2014,2022-08-03,Mauritius,34381
Volkswagen,Atlas,1996,2021-09-26,Nepal,11429
Tesla,Model 3,2020,2019-07-07,Madagascar,53554
Honda,Pilot,1987,2022-03-17,Russian Federation,72009
Ford,Mustang,1987,2023-03-03,Saudi Arabia,28039
Chevrolet,Malibu,1975,2019-11-02,Saint Lucia,30119
Nissan,Sentra,1972,2020-11-01,Malta,15952
BMW,3 Series,2017,2022-04-23,French Southern Territories,24369
Tesla,Model X,2006,2023-12-18,Gambia,59920
Nissan,Pathfinder,2016,2019-11-03,Saint Martin,71930
BMW,X3,2017,2019-06-04,Afghanistan,12743
Mercedes-Benz,C-Class,1982,2023-08-07,Chad,71505
Volkswagen,Passat,2007,2006-07-11,Burkina Faso,11273
Chevrolet,Cruze,2017,2023-11-06,Israel,64758
Volkswagen,Golf,2009,2021-09-15,Tokelau,42322
BMW,3 Series,2018,2020-12-08,Estonia,66146
Chevrolet,Malibu,1992,2020-10-25,Norway,57582
BMW,X5,1997,2019-12-26,Cocos (Keeling) Islands,36326
Audi,A6,1972,2019-02-11,Panama,13983
Tesla,Model Y,2020,2023-07-14,Syrian Arab Republic,77211
Mercedes-Benz,E-Class,2017,2020-06-11,Bouvet Island (Bouvetoya),18913
Chevrolet,Equinox,1995,2022-03-07,Palestinian Territory,287960
Mercedes-Benz,GLE,2016,2023-01-01,Monaco,46667
Toyota,Tacoma,1993,2023-04-17,Mongolia,29360
Tesla,Model S,1981,2020-10-26,Latvia,683620
Ford,Focus,1978,2022-10-07,Iran,28819
Ford,Mustang,1991,2020-09-25,Cuba,42667
Nissan,Rogue,1972,2022-04-20,Pitcairn Islands,76481
BMW,X5,2007,2023-07-11,Algeria,37892
Wrong Brand,Jetta,1985,2020-06-01,Micronesia,20885
Volkswagen,Passat,2021,2019-11-15,Albania,76870
Wrong Brand,Traverse,2019,2019-11-19,Kazakhstan,38572
Mercedes-Benz,C-Class,2005,2023-02-15,Micronesia,21753
Tesla,Cybertruck,2019,2019-02-11,Bermuda,17638
Ford,Focus,2017,2023-05-06,Germany,76112
Tesla,Model Y,2011,2020-07-24,Romania,18535
Volkswagen,Golf,1996,2019-04-27,United States Virgin Islands,24490
Tesla,Model S,2011,2021-11-09,Sao Tome and Principe,55989
Tesla,Model X,1981,2021-03-04,Gambia,76044
Nissan,Titan,1982,2020-02-18,Burkina Faso,56217
Honda,Civic,1974,2023-11-01,Lebanon,23422
Mercedes-Benz,S-Class,2001,2023-03-29,Gibraltar,77924
Wrong Brand,Tiguan,2016,2020-08-25,Congo,61251
Wrong Brand,Jetta,2002,2023-11-11,Luxembourg,73541
Mercedes-Benz,GLC,1986,2023-01-29,Lithuania,49662
Toyota,Camry,1976,2019-04-06,Kyrgyz Republic,57913
Honda,CR-V,2019,2019-08-21,Portugal,12480
Audi,A6,2004,2021-10-02,United States Minor Outlying Islands,51781
Volkswagen,Passat,1993,2020-02-11,Western Sahara,57789
Audi,Q5,2012,2022-07-14,Vietnam,34860
BMW,3 Series,1993,2019-04-17,Bahamas,20125
Tesla,Model X,1998,2020-01-26,Guatemala,72306
Tesla,Cybertruck,2005,2023-03-31,British Virgin Islands,26238
Tesla,Model X,1982,2022-09-25,Bulgaria,54235
Honda,Pilot,2003,1975-01-17,Micronesia,37975
Mercedes-Benz,GLE,2003,2023-07-15,American Samoa,72700
Toyota,RAV4,2002,2022-06-02,Denmark,51436
Chevrolet,Equinox,2018,2021-03-03,Tokelau,63944
Chevrolet,Traverse,1982,2022-06-24,Guinea-Bissau,52230
Ford,Explorer,2006,2023-12-26,Saint Martin,33503
Wrong Brand,Corolla,1994,2023-10-15,American Samoa,45122
Audi,A3,1995,2022-01-13,Japan,45976
Honda,Pilot,1998,2019-09-08,Jamaica,11695
Honda,Odyssey,1972,2021-12-18,Gambia,64692
Nissan,Sentra,2002,2023-02-13,Guadeloupe,66268
Chevrolet,Traverse,2004,2021-08-13,Mauritius,34030
Nissan,Sentra,1997,2023-04-10,Saint Kitts and Nevis,31368
BMW,3 Series,2011,2020-01-03,Rwanda,11062
Audi,A6,1977,2022-06-01,Congo,14069
Honda,Civic,1976,2022-05-05,Samoa,34698
Nissan,Titan,2016,2023-09-28,Kenya,17081
Tesla,Cybertruck,2023,2020-11-04,Mozambique,39602
Ford,Mustang,1984,2023-05-30,Antigua and Barbuda,77499
Honda,Civic,1998,2019-11-12,Brazil,42960
Wrong Brand,Jetta,1998,2019-09-20,Bangladesh,32489
Chevrolet,Equinox,2022,2021-01-20,Hungary,74343
Chevrolet,Silverado,2001,2022-07-04,Lithuania,65467
Wrong Brand,RAV4,1988,2022-07-01,Greenland,31276
BMW,5 Series,2019,2019-09-26,Heard Island and McDonald Islands,71470
Volkswagen,Golf,1999,2023-01-05,Bhutan,42471
Mercedes-Benz,C-Class,2002,2022-08-04,Cameroon,10858
Toyota,Highlander,2007,2020-09-11,Trinidad and Tobago,17944
Mercedes-Benz,S-Class,1979,2020-05-05,Bosnia and Herzegovina,36670
Ford,Mustang,2012,2020-09-05,Croatia,41289
Mercedes-Benz,GLE,2012,2021-10-28,Saint Lucia,57798
Ford,Mustang,1995,2022-02-18,Mauritius,10798
Audi,A3,1973,2019-02-23,Turkmenistan,64843
Volkswagen,Tiguan,1981,2023-04-26,South Georgia and the South Sandwich Islands,34783
Mercedes-Benz,C-Class,1990,2023-12-14,Belarus,49564
Volkswagen,Jetta,1994,2022-02-06,Estonia,32646
Volkswagen,Jetta,1978,2020-10-28,Liechtenstein,69164
Volkswagen,Tiguan,1975,2019-10-31,Uzbekistan,39429
Nissan,Rogue,2008,2019-05-04,Iraq,17347
Mercedes-Benz,C-Class,1980,2022-01-03,Uzbekistan,24829
Chevrolet,Malibu,1993,2020-04-03,Ukraine,38068
Toyota,Corolla,2004,2023-11-01,Maldives,234970
Wrong Brand,S-Class,1975,2020-01-23,Jordan,29344
Nissan,Sentra,1988,2022-06-10,Guinea-Bissau,57952
Ford,Escape,2007,2022-12-20,Bouvet Island (Bouvetoya),58578
Toyota,Highlander,2005,2019-11-23,Burundi,62518
Honda,Accord,1989,2019-10-17,Indonesia,53174
Chevrolet,Cruze,1971,2020-04-05,Chile,18359
BMW,X3,1980,2020-02-09,Bosnia and Herzegovina,44707
Tesla,Model S,2016,2024-01-02,Spain,77214
Nissan,Rogue,2013,2020-08-13,French Guiana,62533
Ford,Focus,1986,2020-03-30,Liechtenstein,274050
Chevrolet,Traverse,1970,2019-05-04,Ghana,64028
Wrong Brand,RAV4,2006,2023-01-14,Saint Kitts and Nevis,27771
Wrong Brand,Traverse,2019,2021-05-27,Qatar,55592
Ford,F-150,1970,2021-07-29,Tonga,25767
Audi,Q5,1996,2020-12-23,Colombia,12191
Tesla,Model X,1984,2022-01-23,Luxembourg,19545
Wrong Brand,Explorer,2009,2021-11-28,Norway,16959
Ford,Explorer,1985,2020-09-12,Cyprus,14299
Honda,Odyssey,1970,2023-06-24,Japan,18265
Mercedes-Benz,S-Class,1984,2021-12-26,Afghanistan,105360
Volkswagen,Atlas,1999,2021-11-05,Chad,49191
Audi,Q5,2010,2021-01-27,Japan,72559
Tesla,Cybertruck,2015,2022-09-04,Niue,26717
Chevrolet,Equinox,1998,2020-03-05,Wallis and Futuna,65301
Audi,A6,2019,2023-07-04,Barbados,14331
Audi,A6,1988,2020-01-01,Japan,73821
Mercedes-Benz,GLC,1996,2019-08-14,Peru,41274
Toyota,Camry,2000,2020-05-21,Greenland,52811
Toyota,Corolla,1976,2022-04-12,Singapore,21161
Tesla,Model 3,1994,2021-02-05,Argentina,56290
Wrong Brand,Camry,2006,2019-03-02,Uganda,19905
Volkswagen,Passat,2012,2019-11-16,Thailand,19402
