Car Brand,Car Model,Sales Date
Wrong Brand,Q5,2020-06-12
Ford,Escape,2021-10-14
Audi,Q5,2023-02-12
Honda,CR-V,2020-02-09
Ford,Explorer,2022-10-21
Ford,Escape,2022-02-09
Audi,Q7,2020-07-14
Chevrolet,Cruze,1986-06-16
Ford,F-150,2023-11-12
Ford,Focus,2020-12-14
BMW,X3,2013-01-07
Honda,Odyssey,2023-03-13
Volkswagen,Passat,2020-01-22
Mercedes-Benz,E-Class,2020-04-03
Honda,Civic,2022-08-02
Volkswagen,Atlas,2022-11-02
Toyota,Tacoma,2022-10-28
BMW,X3,2023-11-20
BMW,7 Series,2023-09-11
Honda,Odyssey,2019-06-17
Honda,Odyssey,2019-03-03
BMW,X5,2020-10-15
Ford,F-150,2020-01-12
Nissan,Altima,2022-02-11
Ford,Explorer,2023-10-25
Honda,Accord,2022-01-10
Volkswagen,Tiguan,2019-07-22
Nissan,Sentra,2023-02-26
Chevrolet,Silverado,2021-03-29
Nissan,Titan,2023-01-20
Ford,Mustang,2022-10-06
Ford,F-150,2019-05-29
Ford,Focus,2023-08-10
Audi,A6,2019-11-07
Volkswagen,Jetta,2023-02-27
Mercedes-Benz,GLE,2021-02-08
Mercedes-Benz,GLC,2020-04-05
Chevrolet,Silverado,2022-06-06
Ford,Escape,2020-12-26
Mercedes-Benz,C-Class,2021-05-19
Nissan,Rogue,2019-06-02
Toyota,Highlander,2023-10-15
Tesla,Model Y,2022-03-09
Chevrolet,Equinox,2023-10-06
Ford,F-150,2020-08-01
Honda,Accord,2022-07-20
Mercedes-Benz,GLE,2022-05-28
Nissan,Altima,2023-07-05
Wrong Brand,GLC,2020-06-24
Mercedes-Benz,E-Class,2021-03-20
Volkswagen,Jetta,2021-06-21
Ford,Focus,2021-11-18
Nissan,Sentra,2022-08-03
Volkswagen,Atlas,2021-09-26
Tesla,Model 3,2019-07-07
Honda,Pilot,2022-03-17
Ford,Mustang,2023-03-03
Chevrolet,Malibu,2019-11-02
Nissan,Sentra,2020-11-01
BMW,3 Series,2022-04-23
Tesla,Model X,2023-12-18
Nissan,Pathfinder,2019-11-03
BMW,X3,2019-06-04
Mercedes-Benz,C-Class,2023-08-07
Volkswagen,Passat,2006-07-11
Chevrolet,Cruze,2023-11-06
Volkswagen,Golf,2021-09-15
BMW,3 Series,2020-12-08
Chevrolet,Malibu,2020-10-25
BMW,X5,2019-12-26
Audi,A6,2019-02-11
Tesla,Model Y,2023-07-14
Mercedes-Benz,E-Class,2020-06-11
Chevrolet,Equinox,2022-03-07
Mercedes-Benz,GLE,2023-01-01
Toyota,Tacoma,2023-04-17
Tesla,Model S,2020-10-26
Ford,Focus,2022-10-07
Ford,Mustang,2020-09-25
Nissan,Rogue,2022-04-20
BMW,X5,2023-07-11
Wrong Brand,Jetta,2020-06-01
Volkswagen,Passat,2019-11-15
Wrong Brand,Traverse,2019-11-19
Mercedes-Benz,C-Class,2023-02-15
Tesla,Cybertruck,2019-02-11
Ford,Focus,2023-05-06
Tesla,Model Y,2020-07-24
Volkswagen,Golf,2019-04-27
Tesla,Model S,2021-11-09
Tesla,Model X,2021-03-04
Nissan,Titan,2020-02-18
Honda,Civic,2023-11-01
Mercedes-Benz,S-Class,2023-03-29
Wrong Brand,Tiguan,2020-08-25
Wrong Brand,Jetta,2023-11-11
Mercedes-Benz,GLC,2023-01-29
Toyota,Camry,2019-04-06
Honda,CR-V,2019-08-21
Audi,A6,2021-10-02
Volkswagen,Passat,2020-02-11
Audi,Q5,2022-07-14
BMW,3 Series,2019-04-17
Tesla,Model X,2020-01-26
