Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of fruits [CoHD_f],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of animal-source foods [CoHD_asf],Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop]
Food Prices for Nutrition 1.0,FPN 1.0,Greece,GRC,2017,YR2017,0.672,2.557,3.037,0.581,0.41,0.742,4.52,0.41,0.797,0.096,0.191,0.244,0.135,0.262,0.135,0.032,1.42,1.81,1.94,1,0.23,2.9,0.5,4.3,10754679
Food Prices for Nutrition 1.0,FPN 1.0,Greece,GRC,2018,YR2018,..,..,3.102,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7,10732882
Food Prices for Nutrition 1.0,FPN 1.0,Greece,GRC,2019,YR2019,..,..,3.065,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1,10721582
Food Prices for Nutrition 1.0,FPN 1.0,Greece,GRC,2020,YR2020,..,..,3.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2,10715549
Food Prices for Nutrition 1.0,FPN 1.0,Greece,GRC,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,France,FRA,2017,YR2017,0.315,1.874,2.936,0.859,0.246,0.848,9.32,0.277,0.64,0.066,0.293,0.289,0.084,0.218,0.094,0.022,3.49,3.45,2.6,1.13,0.27,0,0,0.1,66918020
Food Prices for Nutrition 1.0,FPN 1.0,France,FRA,2018,YR2018,..,..,3.019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,67101930
Food Prices for Nutrition 1.0,FPN 1.0,France,FRA,2019,YR2019,..,..,3.067,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,67248926
Food Prices for Nutrition 1.0,FPN 1.0,France,FRA,2020,YR2020,..,..,3.219,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,67391582
Food Prices for Nutrition 1.0,FPN 1.0,France,FRA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
